author_id,name
0,E. F. Codd
1,Sonja Muuml;ller
2,Daniel Genkin
3,Paul Kocher
4,Yuval Yarom
5,Rodrigo Pastl Pontes
6,Werner Haas 0004
7,Michael Schwarz 0001
8,Paul amp Kocher
9,Moritz Lipp
10,Stefan Mangard
11,Thomas Prescher 0002
12,Kristian Kersting
13,Arnon Rosenthal
14,Ingo Meyer
15,chen
16,daye
17,Daniel Gruss
18,Mike Hamburg
19,Lutz Kubitschke
20,666amp
